cowId;success;calvingDate;inseminationDate
cow1;0;25.08.2012;15.09.2011
cow1;1;25.08.2012;06.11.2011
cow2;0;26.02.2013;04.06.2011
cow2;0;26.02.2013;21.07.2011
cow2;0;26.02.2013;21.11.2011
cow2;0;26.02.2013;13.01.2012
cow2;0;26.02.2013;04.02.2012
cow2;0;26.02.2013;22.03.2012
cow2;0;26.02.2013;13.04.2012
cow2;1;26.02.2013;22.05.2012
cow3;0;03.10.2020;05.12.2019
cow3;1;03.10.2020;27.12.2019
cow4;0;30.12.2012;01.09.2011
cow4;0;30.12.2012;13.10.2011
cow4;0;30.12.2012;30.11.2011
cow4;0;30.12.2012;19.01.2012
cow4;0;30.12.2012;01.03.2012
cow4;1;30.12.2012;21.03.2012
cow5;1;26.04.2012;09.07.2011
cow6;1;25.07.2012;12.10.2011
cow7;1;30.07.2020;08.10.2019
cow8;1;28.10.2019;18.01.2019
cow9;1;15.08.2019;10.11.2018
cow10;1;02.09.2011;20.11.2010
cow11;1;24.03.2013;17.06.2012
cow12;1;09.03.2012;31.05.2011
cow13;0;01.02.2013;07.03.2012
cow13;1;01.02.2013;13.04.2012
cow14;1;20.08.2012;04.11.2011
cow15;1;01.08.2012;24.10.2011
cow16;0;12.07.2018;18.07.2017
cow16;0;12.07.2018;17.08.2017
cow16;1;12.07.2018;27.09.2017
cow17;0;21.08.2018;15.10.2017
cow17;1;21.08.2018;28.11.2017
cow18;1;06.05.2012;27.07.2011
cow19;1;15.11.2011;03.02.2011
cow20;1;04.03.2020;22.05.2019
cow21;0;14.02.2013;11.12.2011
cow21;1;14.02.2013;29.04.2012
cow22;1;17.11.2012;06.02.2012
cow23;1;11.03.2014;28.05.2013
cow24;0;01.03.2014;22.03.2013
cow24;0;01.03.2014;14.04.2013
cow24;1;01.03.2014;15.05.2013
cow25;0;08.12.2011;20.12.2010
cow25;1;08.12.2011;22.02.2011
cow26;0;04.11.2019;27.07.2018
cow26;0;04.11.2019;04.09.2018
cow26;0;04.11.2019;22.09.2018
cow26;0;04.11.2019;17.10.2018
cow26;0;04.11.2019;08.11.2018
cow26;0;04.11.2019;23.12.2018
cow26;1;04.11.2019;15.01.2019
cow27;0;27.11.2019;02.02.2019
cow27;1;27.11.2019;26.02.2019
cow28;0;17.08.2012;01.08.2011
cow28;1;17.08.2012;09.11.2011
cow29;1;05.07.2018;22.09.2017
cow30;0;25.03.2012;23.05.2011
cow30;1;25.03.2012;12.06.2011
cow31;0;11.10.2012;01.12.2011
cow31;0;11.10.2012;20.12.2011
cow31;1;11.10.2012;10.01.2012
cow32;0;17.01.2012;03.03.2011
cow32;1;17.01.2012;14.04.2011
cow33;1;21.03.2012;03.06.2011
cow34;1;23.09.2011;12.12.2010
cow35;1;17.07.2012;13.10.2011
cow36;0;08.04.2012;02.04.2011
cow36;1;08.04.2012;27.06.2011
cow37;1;02.08.2013;12.10.2012
cow38;1;19.04.2020;09.07.2019
cow39;1;24.01.2012;17.04.2011
cow40;1;12.05.2012;01.08.2011
cow41;0;17.07.2012;12.09.2011
cow41;1;17.07.2012;02.10.2011
cow42;0;08.02.2014;06.09.2012
cow42;0;08.02.2014;26.09.2012
cow42;0;08.02.2014;07.11.2012
cow42;0;08.02.2014;26.12.2012
cow42;0;08.02.2014;13.01.2013
cow42;1;08.02.2014;25.04.2013
cow43;1;02.01.2013;10.03.2012
cow44;0;19.09.2021;14.10.2020
cow44;1;19.09.2021;15.12.2020
cow45;1;03.07.2012;17.09.2011
cow46;1;16.11.2011;11.02.2011
cow47;1;15.08.2012;12.11.2011
cow48;0;21.06.2012;28.06.2011
cow48;1;21.06.2012;11.09.2011
cow49;1;12.08.2012;15.11.2011
cow50;1;20.11.2011;17.02.2011
cow51;0;20.11.2013;26.01.2013
cow51;1;20.11.2013;15.02.2013
cow52;1;01.05.2014;10.07.2013
cow53;0;10.05.2020;22.06.2019
cow53;0;10.05.2020;13.07.2019
cow53;1;10.05.2020;03.08.2019
cow54;1;15.05.2013;31.07.2012
cow55;1;13.03.2021;28.05.2020
cow56;0;21.07.2011;05.09.2010
cow56;1;21.07.2011;17.10.2010
cow57;1;01.09.2011;22.11.2010
cow58;0;24.09.2011;05.11.2010
cow58;0;24.09.2011;15.12.2010
cow58;1;24.09.2011;16.12.2010
cow59;0;23.12.2019;27.10.2018
cow59;0;23.12.2019;29.10.2018
cow59;0;23.12.2019;08.12.2018
cow59;1;23.12.2019;15.03.2019
cow60;0;14.05.2013;16.06.2012
cow60;0;14.05.2013;06.07.2012
cow60;1;14.05.2013;31.07.2012
cow61;0;10.06.2012;04.06.2011
cow61;1;10.06.2012;02.09.2011
cow62;1;12.10.2015;29.12.2014
cow63;1;05.04.2012;18.06.2011
cow64;1;04.07.2012;03.10.2011
cow65;0;13.07.2012;10.07.2011
cow65;0;13.07.2012;16.08.2011
cow65;1;13.07.2012;02.10.2011
cow66;0;24.04.2012;21.04.2011
cow66;0;24.04.2012;09.06.2011
cow66;1;24.04.2012;21.07.2011
cow67;0;23.04.2014;07.05.2013
cow67;0;23.04.2014;20.05.2013
cow67;1;23.04.2014;02.07.2013
cow68;1;08.12.2011;04.03.2011
cow69;1;09.06.2014;19.08.2013
cow70;1;28.09.2021;20.12.2020
cow71;1;01.06.2013;31.08.2012
cow72;1;17.09.2013;05.12.2012
cow73;0;02.05.2011;02.04.2010
cow73;1;02.05.2011;01.08.2010
cow74;1;12.10.2011;26.12.2010
cow75;0;12.02.2021;03.02.2020
cow75;1;12.02.2021;03.05.2020
cow76;1;28.12.2012;17.03.2012
cow77;0;20.12.2011;07.01.2011
cow77;0;20.12.2011;22.02.2011
cow77;0;20.12.2011;13.03.2011
cow77;1;20.12.2011;01.04.2011
cow78;1;27.04.2012;01.08.2011
cow79;1;30.10.2011;21.01.2011
cow80;1;16.11.2011;08.02.2011
cow81;1;02.04.2012;22.06.2011
cow82;1;01.03.2014;26.05.2013
cow83;0;28.07.2012;21.08.2011
cow83;1;28.07.2012;23.10.2011
cow84;0;30.09.2014;27.11.2013
